Name,RA(J2000),DEC(J2000),Radius,magnitude
Gaia DR3 4062377018589827584,17 59 19.330,-28 54 49.918,0.5,-
Gaia DR3 4143330112692232960,17 59 24.651,-19 14 16.261,0.5,-
Gaia DR3 4063558173313021696,17 59 34.214,-27 22 36.255,0.5,-
[MMU2013] 002.86-01.88,17 59 34.783,-27 25 43.556,0.5,14.90
Gaia DR2 4150099732733146112,17 59 43.871,-13 58 32.025,0.5,13.90
IGR J17597-2201,17 59 45.522,-22 01 39.310,0.5,-
Gaia DR3 4143437624318727168,17 59 47.904,-18 32 39.967,0.5,-
PPA J1759-2451,17 59 56.988,-24 51 37.495,0.5,-
Th 4-11,18 00 08.785,-17 40 43.389,0.5,-
PN PM 1-199,18 00 43.193,-17 45 19.176,0.5,-
[MMU2013] 003.46-01.92,18 01 06.327,-26 55 58.727,0.5,16.56
Gaia DR3 4145491512057259136,18 01 32.039,-14 53 12.859,0.5,-
2MASS J18014909+8139252,18 01 49.205,+81 39 25.114,0.5,11.64
VPHASDR2J180149.5-195828.4,18 01 49.488,-19 58 28.424,0.5,-
Gaia DR3 4063988077996151168,18 02 13.357,-26 29 45.020,0.5,-
Gaia DR3 4144281568255575040,18 02 30.598,-16 41 40.119,0.5,-
K 6-39,18 03 04.904,-27 46 44.376,0.5,-
IRAS 18004-2748,18 03 31.204,-27 48 26.996,0.5,-
V5485 Sgr,18 03 34.964,-29 59 49.135,0.5,16.30
ShWi 5,18 03 53.687,-29 51 22.219,0.5,-
[MMU2013] 001.70-03.67,18 04 04.947,-29 18 46.782,0.5,-
